,Player,Salary,Salary(*),Salary(%)
356,Bobby Portis,1404600,1492745,1.491985596379975
357,JaVale McGee,1403611,1491694,1.4909350668663628
358,Marreese Speights,1403611,1491694,1.4909350668663628
359,Michael Beasley,1403611,1491694,1.4909350668663628
360,Rondae Hollis-Jefferson,1395600,1483180,1.4824256715847168
361,Willy Hernangomez,1375000,1461287,1.4605440659422368
362,Deyonta Davis,1369229,1455154,1.454414029720744
363,Nikola Jokic,1358500,1443752,1.44301753715093
364,Shabazz Napier,1350120,1434846,1.4341161849526785
365,Tyus Jones,1339680,1423751,1.4230266721901788
366,Sasha Kaun,1333420,1417098,1.4163772133881436
367,Timothe Luwawu,1326960,1410232,1.4095153118128805
368,Alan Anderson,1315448,1397998,1.397287105785879
369,Ty Lawson,1315448,1397998,1.397287105785879
370,Marcus Thornton,1315448,1397998,1.397287105785879
371,Clint Capela,1296240,1377585,1.3768841018450655
372,Jarell Martin,1286160,1366872,1.3661769860743762
373,Brice Johnson,1273920,1353864,1.3531754883528249
374,Jeremy Evans,1227286,1304303,1.303640206919261
375,Luke Babbitt,1227286,1304303,1.303640206919261
376,Jordan Mickey,1223653,1300442,1.2997811839435751
377,CJ Wilcox,1209600,1285508,1.2848538924827124
378,Larry Nance Jr,1207680,1283467,1.282814441859724
379,Terrence Jones,1207194,1282950,1.28229820592078
380,Pascal Siakam,1196040,1271097,1.2704502724578566
381,Kyle Anderson,1192080,1266888,1.2662439055479429
382,Josh Huestis,1191480,1266250,1.2656065772282592
383,Chris McCullough,1191480,1266250,1.2656065772282592
384,Skal Labissiere,1188840,1263445,1.26280233262165
385,Livio Jean-Charles,1188840,1263445,1.26280233262165
386,Kevon Looney,1182840,1257068,1.2564290494248112
387,Dejounte Murray,1180080,1254135,1.2534973391542654
388,Damian Jones,1171560,1245080,1.244447277014754
389,Hollis Thompson,1131040,1202017,1.2014063711587692
390,Isaiah Whitehead,1074145,1141552,1.1409717132447448
391,Joseph Young,1052342,1118381,1.1178122643212984
392,Rakeem Christmas,1052342,1118381,1.1178122643212984
393,Brian Roberts,1050961,1116913,1.1163453469721594
394,Pablo Prigioni,1050961,1116913,1.1163453469721594
395,Thomas Robinson,1050961,1116913,1.1163453469721594
396,John Jenkins,1050961,1116913,1.1163453469721594
397,Glenn Robinson III,1050500,1116423,1.1158556663798689
398,Montrezl Harrell,1045000,1110578,1.1100134901160998
399,Ivica Zubac,1034865,1099807,1.099247952582773
400,Richaun Holmes,1024000,1088260,1.087706998927164
401,Anthony Brown,1023838,1088087,1.0875349202808493
402,Mike Muscala,1015696,1079435,1.078886374982739
403,Anthony Bennett,1015696,1079435,1.078886374982739
404,Isaiah Canaan,1015696,1079435,1.078886374982739
405,Ian Clark,1015696,1079435,1.078886374982739
406,Justin Holiday,1015696,1079435,1.078886374982739
407,Robert Covington,1015696,1079435,1.078886374982739
408,Jeff Withey,1015696,1079435,1.078886374982739
409,DeAndre Liggins,1015695,1079433,1.078885312768873
410,Walter Tavares,1006000,1069130,1.0685871493366474
411,Joe Harris,980431,1041957,1.0414274029933188
412,Sean Kilpatrick,980431,1041957,1.0414274029933188
413,Nick Johnson,980431,1041957,1.0414274029933188
414,Beno Udrih,980431,1041957,1.0414274029933188
415,James Michael McAdoo,980431,1041957,1.0414274029933188
416,JaMychal Green,980431,1041957,1.0414274029933188
417,Louis Amundson,980431,1041957,1.0414274029933188
418,Jerami Grant,980431,1041957,1.0414274029933188
419,Damjan Rudez,980431,1041957,1.0414274029933188
420,Elton Brand,980000,1041499,1.0409695888170125
421,Axel Toupane,977534,1038877,1.0383501694231116
422,Stephen Zimmerman,950000,1009616,1.0091031728328181
423,Andrew Harrison,945000,1004303,1.0037921035021191
424,Bobby Brown,940070,999063,0.9985553891420499
425,Tyler Ulis,918369,976000,0.9755042860329499
426,Jason Thompson,893333,949393,0.9489106996802736
427,Raul Neto,877800,932886,0.932411331697524
428,Malcolm Brogdon,875000,929910,0.9294371328723325
429,Christian Wood,874636,929523,0.9290504870250577
