,Player,Team,Salary
265,Wesley Johnso,Minnesota Timberwolves,3726600
266,C.J. Miles,Utah Jazz,3700000
267,Derek Fisher,Los Angeles Lakers,3700000
268,Kevin Love,Minnesota Timberwolves,3638280
269,C.J. Watson,Chicago Bulls,3600000
270,Marc Gasol,Memphis Grizzlies,3573333
271,Timofey Mozgov,New York Knicks,3567096
272,Dorell Wright,Golden State Warriors,3540000
273,Udonis Haslem,Miami Heat,3500000
274,Chris Duhon,Orlando Magic,3500000
275,Carlos Delfino,Milwaukee Bucks,3500000
276,Shaun Livingsto,Charlotte Bobcats,3500000
277,Tiago Splitter,San Antonio Spurs,3400000
278,Brandan Wrigh,New Jersey Nets,3398072
279,DeMarcus Cousins,Sacramento Kings,3374640
280,Danilo Gallinari,New York Knicks,3304560
281,Joel Anthony,Miami Heat,3300000
282,Kelenna Azubuike,Cleveland Cavaliers,3300000
283,Thabo Sefolosha,Oklahoma City Thunder,3250000
284,Will Bynum,Detroit Pistons,3250000
285,Johan Petro,New Jersey Nets,3250000
286,Grant Hill,Phoenix Suns,3240000
287,Kris Humphries,New Jersey Nets,3200000
288,Jonny Flynn,Minnesota Timberwolves,3192000
289,Joakim Noah,Chicago Bulls,3128536
290,Ekpe Udo,Golden State Warriors,3065040
291,Matt Bonner,San Antonio Spurs,3050000
292,Eric Gordon,LA Clippers,3016680
293,Glen Davis,Boston Celtics,3000004
294,Jamario Moon,LA Clippers,3000000
295,Eduardo Najera,Charlotte Bobcats,3000000
296,Raja Bell,Utah Jazz,3000000
297,Josh Howard,Washington Wizards,3000000
298,Carl Landry,Sacramento Kings,3000000
299,Tony Allen,Memphis Grizzlies,3000000
300,Chris Wilcox,Detroit Pistons,3000000
301,Spencer Hawes,Philadelphia 76ers,2974320
302,Stephen Curry,Golden State Warriors,2913840
303,Thaddeus Young,Philadelphia 76ers,2901241
304,Julian Wright,Toronto Raptors,2858057
305,Anthony Parker,Cleveland Cavaliers,2855769
306,Mark Madsen,Minnesota Timberwolves,2840000
307,Greg Monroe,Detroit Pistons,2798040
308,Rodney Stuckey,Detroit Pistons,2767126
