,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
141,Elias Harris,203.2,108.408488,1,0,1,Undrafted,Undrafted,2014
142,Elliot Williams,196.0,86.0,1,1,4,1,22,2014
143,Elton Brand,205.74,115.212368,1,1,15,1,1,2014
144,Enes Kanter,210.82,112.037224,1,0,3,1,3,2014
145,Eric Bledsoe,185.42,88.45044,1,1,4,1,18,2014
146,Eric Gordon,193.04,97.52228,1,1,6,1,7,2014
147,Eric Maynor,190.5,79.3786,1,1,5,1,20,2014
148,Erik Murphy,208.28,104.32616,1,1,1,2,49,2014
149,Ersan Ilyasova,208.28,106.59412,0,0,9,2,36,2014
150,Evan Fournier,198.12,90.7184,0,0,2,1,20,2014
151,Evan Turner,200.66,99.79024,1,1,4,1,2,2014
152,Francisco Garcia,200.66,88.45044,1,0,9,1,23,2014
153,Gal Mekel,190.5,86.636072,1,0,1,Undrafted,Undrafted,2014
154,Garrett Temple,198.12,88.45044,1,1,2,Undrafted,Undrafted,2014
155,Gary Neal,193.04,95.25431999999999,1,1,4,Undrafted,Undrafted,2014
156,George Hill,190.5,85.275296,1,1,6,1,26,2014
157,Gerald Green,203.2,95.25431999999999,0,1,9,1,18,2014
158,Gerald Henderson,195.58,97.52228,1,1,5,1,12,2014
159,Gerald Wallace,200.66,99.79024,1,1,13,1,25,2014
160,Giannis Antetokounmpo,205.74,92.98636,0,0,1,1,15,2014
161,Gigi Datome,203.2,97.52228,0,0,1,Undrafted,Undrafted,2014
162,Glen Davis,205.74,131.088088,1,1,7,2,35,2014
163,Glen Rice,198.12,93.439952,1,1,1,2,35,2014
164,Goran Dragic,190.5,86.18248,0,0,6,2,45,2014
165,Gordon Hayward,203.2,99.79024,1,1,4,1,9,2014
166,Gorgui Dieng,210.82,107.954896,1,0,1,1,21,2014
167,Greg Monroe,210.82,113.398,1,1,4,1,7,2014
168,Greg Oden,213.36,123.83061599999999,1,1,7,1,1,2014
169,Greg Smith,208.28,113.398,1,1,3,Undrafted,Undrafted,2014
170,Greg Stiemsma,210.82,117.93392,1,1,3,Undrafted,Undrafted,2014
171,Greivis Vasquez,198.12,95.707912,1,0,4,1,28,2014
172,Gustavo Ayon,208.28,113.398,0,0,3,Undrafted,Undrafted,2014
173,Hamady Ndiaye,213.36,106.59412,1,0,4,2,56,2014
174,Harrison Barnes,203.2,95.25431999999999,1,1,2,1,7,2014
175,Hasheem Thabeet,220.98,119.294696,1,0,5,1,2,2014
176,Hedo Turkoglu,208.28,99.79024,0,0,14,1,16,2014
177,Henry Sims,208.28,112.490816,1,1,2,Undrafted,Undrafted,2014
178,Hilton Armstrong,210.82,106.59412,1,1,8,1,12,2014
179,Hollis Thompson,203.2,93.439952,1,1,1,Undrafted,Undrafted,2014
180,Ian Clark,190.5,78.471416,1,1,1,Undrafted,Undrafted,2014
181,Ian Mahinmi,210.82,113.398,0,0,9,1,28,2014
182,Iman Shumpert,195.58,99.79024,1,1,3,1,17,2014
183,Isaiah Canaan,182.88,85.275296,1,1,1,2,34,2014
184,Isaiah Thomas,175.26,83.91452,1,1,3,2,60,2014
185,Ish Smith,182.88,79.3786,1,1,4,Undrafted,Undrafted,2014
186,J.J. Barea,182.88,80.73937600000002,1,0,8,Undrafted,Undrafted,2014
187,JJ Hickson,205.74,109.76926399999999,1,1,6,1,19,2014
188,JJ Redick,193.04,86.18248,1,1,8,1,11,2014
189,JR Smith,198.12,99.79024,0,1,10,1,18,2014
190,JaVale McGee,213.36,122.46984,1,1,6,1,18,2014
191,Jae Crowder,198.12,106.59412,1,1,2,2,34,2014
192,Jamaal Franklin,195.58,86.636072,1,1,1,2,41,2014
193,Jamaal Tinsley,190.5,85.275296,1,1,13,1,27,2014
194,Jamal Crawford,195.58,90.7184,1,1,14,1,8,2014
195,Jameer Nelson,182.88,86.18248,1,1,10,1,20,2014
196,James Anderson,198.12,95.25431999999999,1,1,4,1,20,2014
197,James Harden,195.58,99.79024,1,1,5,1,3,2014
198,James Johnson,205.74,112.490816,1,1,5,1,16,2014
199,James Jones,203.2,97.52228,1,1,11,2,49,2014
200,James Nunnally,200.66,92.98636,1,1,1,Undrafted,Undrafted,2014
201,James Southerland,203.2,97.52228,1,1,1,Undrafted,Undrafted,2014
202,Jan Vesely,213.36,109.76926399999999,0,0,3,1,6,2014
203,Jannero Pargo,185.42,83.91452,1,1,3,Undrafted,Undrafted,2014
204,Jared Cunningham,193.04,88.45044,1,1,2,1,24,2014
205,Jared Dudley,200.66,102.0582,1,1,7,1,22,2014
206,Jared Sullinger,205.74,117.93392,1,1,2,1,21,2014
207,Jarrett Jack,190.5,90.7184,1,1,9,1,22,2014
208,Jarvis Varnado,205.74,104.32616,1,1,4,2,41,2014
209,Jason Collins,213.36,115.66596,1,1,13,1,18,2014
210,Jason Maxiell,200.66,117.93392,1,1,9,1,26,2014
211,Jason Smith,213.36,108.86208,1,1,7,1,20,2014
212,Jason Terry,187.96,81.64656,1,1,15,1,10,2014
213,Jason Thompson,210.82,113.398,1,1,6,1,12,2014
214,Jeff Adrien,201.0,111.0,1,1,4,Undrafted,Undrafted,2014
215,Jeff Ayres,205.74,113.398,1,1,5,2,31,2014
216,Jeff Green,205.74,106.59412,1,1,7,1,5,2014
217,Jeff Teague,187.96,82.10015200000002,1,1,5,1,19,2014
218,Jeff Withey,213.36,106.59412,1,1,1,2,39,2014
219,Jeffery Taylor,200.66,102.0582,1,0,2,2,31,2014
220,Jeremy Evans,205.74,89.357624,1,1,4,2,55,2014
221,Jeremy Lamb,195.58,83.91452,1,1,2,1,12,2014
222,Jeremy Lin,190.5,90.7184,1,1,4,Undrafted,Undrafted,2014
223,Jeremy Tyler,208.28,113.398,0,1,3,2,39,2014
224,Jermaine O'Neal,210.82,115.66596,0,1,18,1,17,2014
225,Jerryd Bayless,190.5,90.7184,1,1,6,1,11,2014
226,Jimmer Fredette,187.96,88.45044,1,1,3,1,10,2014
227,Jimmy Butler,200.66,99.79024,1,1,3,1,30,2014
228,Joakim Noah,210.82,105.233344,1,1,7,1,9,2014
229,Jodie Meeks,193.04,94.347136,1,1,5,2,41,2014
230,Joe Johnson,200.66,108.86208,1,1,13,1,10,2014
231,Joel Anthony,205.74,111.13004,1,0,7,Undrafted,Undrafted,2014
232,Joel Freeland,208.28,102.0582,0,0,8,1,30,2014
233,John Henson,210.82,99.79024,1,1,2,1,14,2014
234,John Jenkins,193.04,97.52228,1,1,2,1,23,2014
235,John Lucas III,180.34,75.296272,1,1,4,Undrafted,Undrafted,2014
236,John Salmons,198.12,93.893544,1,1,12,1,26,2014
237,John Wall,193.04,88.45044,1,1,4,1,1,2014
238,Jon Leuer,208.28,103.418976,1,1,3,2,40,2014
239,Jonas Jerebko,208.28,104.779752,0,0,5,2,39,2014
240,Jonas Valanciunas,210.82,104.779752,0,0,3,1,5,2014
241,Jordan Crawford,193.04,88.45044,1,1,4,1,27,2014
242,Jordan Farmar,187.96,81.64656,1,1,8,1,26,2014
243,Jordan Hamilton,200.66,99.79024,1,1,3,1,26,2014
244,Jordan Hill,208.28,106.59412,1,1,5,1,8,2014
245,Jorge Gutierrez,190.5,88.45044,1,0,1,Undrafted,Undrafted,2014
246,Jose Calderon,190.5,95.707912,0,0,9,Undrafted,Undrafted,2014
247,Josh Childress,203.2,95.25431999999999,1,1,10,1,6,2014
248,Josh Harrellson,208.28,124.7378,1,1,3,2,45,2014
249,Josh McRoberts,208.28,108.86208,1,1,7,2,37,2014
250,Josh Powell,205.74,108.86208,1,1,1,Undrafted,Undrafted,2014
251,Josh Smith,205.74,102.0582,0,1,10,1,17,2014
252,Jrue Holiday,193.04,92.98636,1,1,5,1,17,2014
253,Julyan Stone,198.12,90.7184,1,1,3,Undrafted,Undrafted,2014
254,Justin Hamilton,213.36,115.66596,1,1,2,2,45,2014
255,Kawhi Leonard,200.66,104.32616,1,1,3,1,15,2014
256,Keith Bogans,195.58,97.52228,1,1,11,2,43,2014
257,Kelly Olynyk,213.36,107.954896,1,0,1,1,13,2014
258,Kemba Walker,185.42,83.46092800000002,1,1,3,1,9,2014
259,Kendall Marshall,193.04,88.45044,1,1,2,1,13,2014
260,Kendrick Perkins,208.28,122.46984,0,1,11,1,27,2014
261,Kenneth Faried,203.2,103.418976,1,1,3,1,22,2014
262,Kent Bazemore,195.58,91.171992,1,1,2,Undrafted,Undrafted,2014
263,Kentavious Caldwell-Pope,195.58,92.98636,1,1,1,1,8,2014
264,Kenyon Martin,205.74,102.0582,1,1,14,1,1,2014
265,Kevin Durant,205.74,108.86208,1,1,7,1,2,2014
266,Kevin Garnett,210.82,114.758776,0,1,19,1,5,2014
267,Kevin Love,208.28,110.222856,1,1,6,1,5,2014
268,Kevin Martin,200.66,89.357624,1,1,10,1,26,2014
269,Kevin Seraphin,208.28,126.098576,1,0,4,1,17,2014
270,Khris Middleton,203.2,98.429464,1,1,2,2,39,2014
271,Kirk Hinrich,193.04,86.18248,1,1,11,1,7,2014
272,Klay Thompson,200.66,92.98636,1,1,3,1,11,2014
273,Kobe Bryant,198.12,92.98636,0,1,18,1,13,2014
274,Kosta Koufos,213.36,120.20188,1,1,6,1,23,2014
275,Kris Humphries,205.74,106.59412,1,1,10,1,14,2014
276,Kyle Korver,200.66,96.161504,1,1,11,2,51,2014
277,Kyle Lowry,182.88,92.98636,1,1,8,1,24,2014
278,Kyle O'Quinn,208.28,113.398,1,1,2,2,49,2014
279,Kyle Singler,203.2,104.32616,1,1,3,2,33,2014
280,Kyrie Irving,190.5,87.543256,1,0,3,1,1,2014
281,LaMarcus Aldridge,210.82,108.86208,1,1,8,1,2,2014
282,Lance Stephenson,195.58,104.32616,1,1,4,2,40,2014
283,Lance Thomas,203.2,102.0582,1,1,3,Undrafted,Undrafted,2014
