,Player,PG%,SG%,SF%,PF%,C%,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
203,Nenê,0.0,0.0,0.0,73,27,PF,31,WAS,53,37,29.4,5.6,11.2,.503,0.0,0.1,.200,5.6,11.1,.506,.504,2.9,5.0,.583,1.2,4.3,5.5,2.9,1.2,0.9,2.2,3.1,14.2,16.6,.530,.008,.448,4.7,17.3,10.9,2.1,2.5,14.1,24.0,0.8,2.4,3.2,.098,-0.9,1.2,0.3,0.9
204,George Hill,96,4,0.0,0.0,0.0,PG,27,IND,76,76,32.0,3.6,8.1,.442,1.3,3.4,.365,2.3,4.7,.497,.519,1.9,2.3,.807,0.7,3.0,3.7,3.5,1.0,0.3,1.2,2.1,10.3,13.4,.563,.422,.286,2.6,10.1,6.5,1.6,0.7,11.7,14.8,3.8,4.0,7.8,.154,-0.1,1.7,1.6,2.2
205,Jordan Hill,0.0,0.0,6,73,21,PF,26,LAL,72,32,20.8,4.0,7.2,.549,0.0,0.0,.000,4.0,7.2,.550,.549,1.7,2.5,.685,2.7,4.7,7.4,0.8,0.4,0.9,1.0,2.4,9.7,19.3,.579,.002,.347,13.8,24.3,19.0,0.9,3.1,11.1,19.7,3.1,1.3,4.4,.141,0.5,-1.0,-0.5,0.6
206,Solomon Hill,0.0,27,71,2,0.0,SF,22,IND,28,0,8.1,0.6,1.4,.425,0.3,0.8,.304,0.4,0.6,.588,.513,0.2,0.3,.857,0.3,1.1,1.5,0.4,0.2,0.1,0.5,0.7,1.7,7.6,.545,.575,.175,4.7,15.2,10.2,1.1,0.7,23.2,11.3,0.0,0.4,0.4,.080,-3.3,0.9,-2.4,0.0
207,Kirk Hinrich,73,27,0.0,0.0,0.0,PG,33,CHI,73,61,29.0,3.3,8.5,.393,1.2,3.3,.351,2.2,5.2,.419,.461,1.3,1.7,.760,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,9.1,10.8,.494,.391,.202,1.7,8.5,5.2,2.0,1.0,15.1,17.3,0.4,3.3,3.8,.085,-2.4,1.4,-1.0,0.6
208,Jrue Holiday,91,9,0.0,0.0,0.0,PG,23,NOP,34,34,33.6,6.0,13.4,.447,0.9,2.3,.390,5.1,11.1,.459,.480,1.5,1.9,.810,0.8,3.4,4.2,7.9,1.6,0.4,3.1,2.7,14.3,17.1,.505,.170,.139,2.8,11.8,7.2,2.6,0.9,17.9,23.3,0.8,0.7,1.5,.064,1.2,-0.9,0.4,0.7
209,Ryan Hollins,0.0,0.0,0.0,16,84,PF,29,LAC,61,0,7.9,0.9,1.2,.736,0.0,0.0,0.0,0.9,1.2,.736,.736,0.6,0.9,.625,0.5,1.0,1.5,0.1,0.1,0.5,0.5,1.4,2.3,11.9,.730,.000,.778,7.4,13.1,10.4,0.9,4.9,23.1,11.5,0.7,0.6,1.3,.126,-3.4,1.5,-1.9,0.0
210,Scotty Hopson,0.0,100,0.0,0.0,0.0,SG,24,CLE,2,0,3.5,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,-6.5,.102,.500,.500,0.0,0.0,0.0,7.4,0.0,0.0,31.1,-0.1,0.0,-0.1,-0.412,-17.4,-3.3,-20.7,0.0
211,Al Horford,0.0,0.0,0.0,5,95,C,27,ATL,29,29,33.0,8.2,14.5,.567,0.1,0.4,.364,8.1,14.1,.572,.571,2.0,2.9,.682,2.3,6.1,8.4,2.6,0.9,1.5,2.2,1.9,18.6,22.0,.588,.026,.202,8.0,21.4,14.8,1.4,3.6,12.3,24.7,1.5,1.3,2.8,.141,2.2,0.8,3.0,1.2
212,Dwight Howard,0.0,0.0,0.0,4,96,C,28,HOU,71,71,33.7,6.7,11.3,.591,0.0,0.1,.286,6.6,11.2,.594,.593,4.9,9.0,.547,3.3,8.9,12.2,1.8,0.8,1.8,3.2,3.4,18.3,21.3,.600,.009,.798,11.4,27.9,20.1,1.2,4.0,17.5,24.0,4.0,4.1,8.0,.161,0.9,0.8,1.8,2.3
213,Robbie Hummel,0.0,8,73,20,0.0,SF,24,MIN,53,5,12.4,1.3,3.3,.379,0.6,1.7,.360,0.7,1.7,.398,.469,0.3,0.3,.938,0.7,1.8,2.5,0.4,0.3,0.0,0.2,1.1,3.4,9.6,.492,.503,.090,5.7,16.6,11.0,1.2,0.2,5.2,12.6,0.6,0.6,1.1,.084,-1.6,-0.4,-2.0,0.0
214,Kris Humphries,0.0,0.0,0.0,59,41,PF,28,BOS,69,30,19.9,3.3,6.7,.501,0.0,0.0,.000,3.3,6.7,.503,.501,1.7,2.1,.813,1.8,4.1,5.9,1.0,0.4,0.9,0.9,2.0,8.4,18.2,.552,.004,.312,10.2,24.0,16.9,1.2,3.4,10.9,19.0,2.3,1.8,4.1,.143,0.5,0.4,0.9,1.0
215,Serge Ibaka,0.0,0.0,6,75,19,PF,24,OKC,81,81,32.9,6.5,12.1,.536,0.3,0.7,.383,6.2,11.3,.546,.548,1.9,2.5,.784,2.8,6.0,8.8,1.0,0.5,2.7,1.5,2.9,15.1,19.6,.576,.061,.203,10.0,19.6,15.0,0.7,6.7,10.3,19.8,5.2,4.4,9.6,.173,1.1,0.6,1.7,2.5
216,Andre Iguodala,1,20,78,1,0.0,SF,30,GSW,63,63,32.4,3.5,7.3,.480,1.0,2.8,.354,2.5,4.5,.558,.548,1.4,2.1,.652,0.8,3.8,4.7,4.2,1.5,0.3,1.6,1.6,9.3,13.7,.570,.382,.288,2.9,12.6,7.8,2.3,0.7,16.2,13.3,2.7,3.1,5.8,.135,-0.1,2.4,2.3,2.2
217,Ersan İlyasova,0.0,0.0,2,96,2,PF,26,MIL,55,47,26.9,4.3,10.5,.409,0.7,2.4,.282,3.6,8.1,.446,.441,1.9,2.4,.823,1.9,4.3,6.2,1.3,0.8,0.1,1.1,2.5,11.2,13.8,.486,.226,.225,8.0,18.8,13.3,1.6,0.4,8.7,21.3,0.9,0.8,1.6,.053,-1.0,-1.8,-2.8,-0.3
218,Kyrie Irving,100,0.0,0.0,0.0,0.0,PG,21,CLE,71,71,35.2,7.5,17.4,.430,1.7,4.8,.358,5.8,12.6,.458,.480,4.1,4.8,.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,2.3,20.8,20.1,.533,.278,.273,2.3,9.5,5.8,2.2,0.8,12.1,28.2,4.6,2.1,6.7,.128,3.6,-0.2,3.4,3.3
219,Royal Ivey,100,0.0,0.0,0.0,0.0,SG,32,OKC,2,0,2.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-16.5,.000,.500,.000,0.0,21.5,11.3,0.0,0.0,0.0,17.7,0.0,0.0,0.0,-0.362,-21.7,-6.1,-27.7,0.0
220,Jarrett Jack,50,50,0.0,0.0,0.0,PG,30,CLE,80,31,28.2,3.6,8.7,.410,0.8,2.3,.341,2.8,6.4,.435,.455,1.6,1.9,.839,0.3,2.5,2.8,4.1,0.7,0.3,1.7,1.7,9.5,11.5,.498,.265,.213,1.1,10.3,5.6,1.3,0.8,14.8,17.8,0.9,1.4,2.3,.049,-1.6,-0.5,-2.1,-0.1
221,Reggie Jackson,83,17,0.0,0.0,0.0,PG,23,OKC,80,36,28.5,5.0,11.5,.440,1.0,3.1,.339,4.0,8.4,.477,.485,2.0,2.2,.893,0.5,3.4,3.9,4.1,1.1,0.1,2.1,1.8,13.1,15.4,.527,.267,.193,2.2,12.8,7.8,1.9,0.3,14.5,22.6,2.3,2.6,4.9,.104,0.4,-0.3,0.1,1.2
222,Stephen Jackson,0.0,0.0,38,53,9,SF,35,LAC,9,0,11.9,0.7,2.9,.231,0.1,1.6,.071,0.6,1.3,.417,.250,0.2,0.4,.500,0.2,0.9,1.1,0.6,0.7,0.1,0.7,1.2,1.7,0.1,.270,.538,.154,2.2,8.0,5.2,2.8,0.7,17.8,13.9,-0.3,0.1,-0.2,-0.099,-7.4,0.9,-6.6,-0.1
223,Bernard James,0.0,0.0,0.0,0.0,100,C,28,DAL,30,0,4.9,0.4,0.8,.478,0.0,0.0,.000,0.4,0.7,.500,.478,0.2,0.4,.545,0.5,0.9,1.4,0.1,0.1,0.3,0.3,0.8,0.9,8.5,.503,.043,.478,12.0,21.2,16.6,1.1,4.5,26.4,11.8,0.0,0.2,0.1,.040,-5.0,0.1,-4.9,-0.1
224,Damion James,100,0.0,0.0,0.0,0.0,SF,26,SAS,5,1,10.0,0.4,1.8,.222,0.0,0.4,.000,0.4,1.4,.286,.222,0.4,0.4,1.000,0.2,2.2,2.4,0.6,0.0,0.2,0.2,0.6,1.2,4.1,.304,.222,.222,2.4,23.8,13.5,0.0,1.4,9.2,9.8,-0.1,0.1,0.0,.010,-4.9,0.2,-4.7,0.0
225,LeBron James,0.0,0.0,12,83,5,PF,29,MIA,77,77,37.7,10.0,17.6,.567,1.5,4.0,.379,8.5,13.6,.622,.610,5.7,7.6,.750,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,29.3,.649,.226,.432,3.6,18.9,11.5,2.2,0.8,14.4,31.0,12.3,3.7,15.9,.264,7.8,1.1,8.8,7.9
226,Mike James,100,0.0,0.0,0.0,0.0,PG,38,CHI,11,0,7.0,0.5,1.9,.238,0.1,0.5,.200,0.4,1.5,.250,.262,0.0,0.2,.000,0.0,0.6,0.6,1.5,0.2,0.0,0.5,1.0,1.0,1.5,.251,.238,.095,0.0,10.2,5.2,1.4,0.0,18.6,16.1,-0.2,0.1,-0.1,-0.073,-8.9,-1.3,-10.2,-0.1
227,Antawn Jamison,0.0,0.0,0.0,99,1,PF,37,LAC,22,0,11.3,1.3,4.2,.315,0.4,1.9,.195,1.0,2.3,.412,.359,0.8,1.1,.720,0.4,2.1,2.5,0.3,0.4,0.1,0.3,1.3,3.8,7.8,.408,.446,.272,4.2,19.9,12.3,1.8,0.9,6.4,19.6,-0.3,0.4,0.1,.019,-4.5,-0.3,-4.7,-0.2
